Sampno,Element,Coldate,Site,Result,Bacteria,Storm,WatchList,ActionList
AH26218,ID4.1,10/8/2019,MY10,175,FC,Yes,ok,ok
AH30510,ID4.1,11/12/2019,MY10,5850,FC,Yes,ok,ok
AH33283,ID4.1,12/4/2019,MY10,339,FC,No,ok,ok
AH34053,ID4.1,12/10/2019,MY10,800,FC,No,Flag,ok
AH37936,ID4.1,1/14/2020,MY10,2400,FC,Yes,ok,ok
AH41419,ID4.1,2/11/2020,MY10,11200,FC,Yes,ok,ok
AH41427,ID4.1,2/11/2020,MY10,21000,FC,Yes,ok,ok
AH42223,ID4.1,2/17/2020,MY10,260,FC,No,ok,ok
AH45329,ID4.1,3/11/2020,MY10,220,FC,No,ok,ok
AH54453,ID4.1,6/11/2020,MY10,1070,FC,Yes,ok,ok
AH54826,ID4.15,6/15/2020,MY10,200,FC,No,ok,ok
AH58067,ID4.1,7/16/2020,MY10,19000,FC,No,Flag,Flag
AH61268,ID4.1,8/13/2020,MY10,3600,FC,Yes,ok,ok
AH64088,ID4.1,9/10/2020,MY10,540,FC,No,Flag,ok
AH68011,ID4.1,10/15/2020,MY10,585,FC,No,Flag,ok
AH26218,ID4.1,10/8/2019,MY10,150,E.Coli,Yes,ok,ok
AH30510,ID4.1,11/12/2019,MY10,4500,E.Coli,Yes,ok,ok
AH33283,ID4.1,12/4/2019,MY10,284,E.Coli,No,ok,ok
AH34053,ID4.1,12/10/2019,MY10,668,E.Coli,No,Flag,ok
AH37936,ID4.1,1/14/2020,MY10,2110,E.Coli,Yes,ok,ok
AH41419,ID4.1,2/11/2020,MY10,6830,E.Coli,Yes,ok,ok
AH41427,ID4.1,2/11/2020,MY10,11920,E.Coli,Yes,ok,ok
AH42223,ID4.1,2/17/2020,MY10,276,E.Coli,No,ok,ok
AH45329,ID4.1,3/11/2020,MY10,229,E.Coli,No,ok,ok
AH54453,ID4.1,6/11/2020,MY10,850,E.Coli,Yes,ok,ok
AH54826,ID4.15,6/15/2020,MY10,345,E.Coli,No,ok,ok
AH58067,ID4.1,7/16/2020,MY10,9679,E.Coli,No,Flag,Flag
AH61268,ID4.1,8/13/2020,MY10,1350,E.Coli,Yes,ok,ok
AH64088,ID4.1,9/10/2020,MY10,344,E.Coli,No,Flag,ok
AH68011,ID4.1,10/15/2020,MY10,462,E.Coli,No,Flag,ok
